Company,City,Affected Workers,Notice Received,Original Notice Type / Update Type,Layoff Begin Date,NAICS Description,CountyWorkforce Development Area
Rev Group Inc,"Brookfield, Milwaukee",43,20200709,WR,9/21/2020,Managing Offices,Milwaukee,Milwaukee
Cintas Corporation,Menomonee Falls,92,20200713,CL,7/2/2020,Ind Launderers,Waukesha,WOW
The Madison Consourse Hotel,Madison,114,20200716,WR,9/13/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Forest County Potawatomi Community,"Milwaukee, Wabeno, Crandon",1835,20200717,WR,3/17/2020,Tribal Gov,"Milwaukee, Forest","Milwaukee, North Central"
United Alloy Inc,Janesville,108,20200720,WR,7/17/2020,Metal Tank Heavy Gauge Mfg,Rock,Southwest
North Central Staffing,Middleton,71,20200723,WR,3/14/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
North Central Staffing,Madison,75,20200723,WR,3/14/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
North Shore Healthcare,Shawano,44,20200727,CL,10/25/2020,Nursing Care Facilities (Skilled Nursing),Shawano,Bay Area
Air Wisconsin Airlines,"Milwaukee, Appleton",361,20200729,WR,10/1/2020,Scheduled Passenger Air Trans,"Milwaukee, Outagamie","Milwaukee, Bay Area"
Helgesen,Hartford,102,20200803,WR,9/30/2020,Misc Fabricated Metal Product Mfg,Washington,WOW
Northern Engraving Corporation,Holmen,61,20200804,WR,7/31/2020,All Other Plastics Product Mfg.,La Crosse,Western
"Stellar Mold & Tool, Inc.",Galesville,22,20200805,CL,8/3/2020,Ind Mold Mfg,Trempealeau,Western
Wacker Neuson,Menomonee Falls,186,20200807,WR,3/23/2020,Construction Machinery Mfg,Waukesha,WOW
Courier Distribution Systems,Sussex,98,20200811,WR,10/2/2020,Couriers & Express Delivery Services,Waukesha,WOW
Phillips Medisize,Eau Claire,98,20200812,CL,10/15/2020,Surgical & Medical Instrument Mfg,Eau Claire,West Central
Aramark at the Fluno Center,Madison,60,20200817,WR,8/31/2020,Food Service Contractors,Dane,South Central
Pereles Brothers Inc.,Milwaukee,49,20200818,CL,10/1/2020,All Other Plastics Product Mfg.,Milwaukee,Milwaukee
Sentry Services,Stevens Point,112,20200819,CL,4/19/2020,Direct Property & Casualty Insurers,Portage,North Central
